Year,Geo_id,Beverage_type,Gallons_beverage,Gallons_ethanol,Population_above14,Gallons_ethanol_per_capita_above_14,Decile for per capita consumption age 14 and older,Population_above21,Gallons_ethanol_per_capita_above_21,Decile for per capita consumption age 21 and older,Type of data source,Time-varying alcohol by volume,Gallons of ethanol derived from time-varying ABV
1970,1,1,3863000,1738350,2499000,6956,9,2020000,8606,9,NA,NA,NA
1970,1,2,1412000,225920,2499000,904,9,2020000,1118,9,NA,NA,NA
1970,1,3,33098000,1489410,2499000,5960,10,2020000,7373,10,NA,NA,NA
1970,1,4,NA,3453680,2499000,13820,10,2020000,17097,10,NA,NA,NA
1970,2,1,945000,425250,205000,20744,1,165000,25773,1,NA,NA,NA
1970,2,2,470000,75200,205000,3668,2,165000,4558,2,NA,NA,NA
1970,2,3,5372000,241740,205000,11792,5,165000,14651,5,NA,NA,NA
1970,2,4,NA,742190,205000,36204,1,165000,44981,1,NA,NA,NA
1970,4,1,2967000,1335150,1272000,10496,5,1031000,12950,5,NA,NA,NA
1970,4,2,2508000,401280,1272000,3155,3,1031000,3892,3,NA,NA,NA
1970,4,3,38604000,1737180,1272000,13657,2,1031000,16849,2,NA,NA,NA
1970,4,4,NA,3473610,1272000,27308,4,1031000,33692,4,NA,NA,NA
1970,5,1,1865000,839250,1422000,5902,10,1169000,7179,10,NA,NA,NA
1970,5,2,1193000,190880,1422000,1342,7,1169000,1633,8,NA,NA,NA
1970,5,3,22378000,1007010,1422000,7082,10,1169000,8614,10,NA,NA,NA
1970,5,4,NA,2037140,1422000,14326,10,1169000,17426,10,NA,NA,NA
1970,6,1,45071000,20281950,14811000,13694,3,12247000,16561,3,NA,NA,NA
1970,6,2,58590000,9374400,14811000,6329,1,12247000,7654,1,NA,NA,NA
1970,6,3,363645000,16364025,14811000,11049,7,12247000,13362,7,NA,NA,NA
1970,6,4,NA,46020375,14811000,31072,2,12247000,37577,2,NA,NA,NA
1970,8,1,4494000,2022300,1608000,12576,3,1301000,15544,3,NA,NA,NA
1970,8,2,3132000,501120,1608000,3116,3,1301000,3852,3,NA,NA,NA
1970,8,3,42145000,1896525,1608000,11794,5,1301000,14577,5,NA,NA,NA
1970,8,4,NA,4419945,1608000,27487,4,1301000,33973,3,NA,NA,NA
1970,9,1,7277000,3274650,2238000,14632,2,1868000,17530,2,NA,NA,NA
1970,9,2,4726000,756160,2238000,3379,3,1868000,4048,3,NA,NA,NA
1970,9,3,49680000,2235600,2238000,9989,8,1868000,11968,8,NA,NA,NA
1970,9,4,NA,6266410,2238000,28000,4,1868000,33546,4,NA,NA,NA
1970,10,1,1521000,684450,394000,17372,1,322000,21256,2,NA,NA,NA
1970,10,2,528000,84480,394000,2144,5,322000,2624,5,NA,NA,NA
1970,10,3,10263000,461835,394000,11722,6,322000,14343,5,NA,NA,NA
1970,10,4,NA,1230765,394000,31238,2,322000,38223,2,NA,NA,NA
1970,11,1,5730000,2578500,581000,44380,1,486000,53056,1,NA,NA,NA
1970,11,2,2976000,476160,581000,8196,1,486000,9798,1,NA,NA,NA
1970,11,3,17887000,804915,581000,13854,1,486000,16562,2,NA,NA,NA
1970,11,4,NA,3859575,581000,66430,1,486000,79415,1,NA,NA,NA
1970,12,1,17402000,7830900,5166000,15159,2,4355000,17981,2,NA,NA,NA
1970,12,2,9539000,1526240,5166000,2954,4,4355000,3505,4,NA,NA,NA
1970,12,3,125228000,5635260,5166000,10908,7,4355000,12940,7,NA,NA,NA
1970,12,4,NA,14992400,5166000,29021,3,4355000,34426,3,NA,NA,NA
1970,13,1,7511000,3379950,3312000,10205,6,2684000,12593,6,NA,NA,NA
1970,13,2,2874000,459840,3312000,1388,7,2684000,1713,7,NA,NA,NA
1970,13,3,58089000,2614005,3312000,7893,9,2684000,9739,9,NA,NA,NA
1970,13,4,NA,6453795,3312000,19486,8,2684000,24045,8,NA,NA,NA
1970,15,1,1386000,623700,555000,11238,4,450000,13860,4,NA,NA,NA
1970,15,2,867000,138720,555000,2499,5,450000,3083,4,NA,NA,NA
1970,15,3,13640000,613800,555000,11059,7,450000,13640,6,NA,NA,NA
1970,15,4,NA,1376220,555000,24797,5,450000,30583,5,NA,NA,NA
1970,16,1,853000,383850,513000,7482,8,410000,9362,8,NA,NA,NA
1970,16,2,312000,49920,513000,973,9,410000,1218,9,NA,NA,NA
1970,16,3,13635000,613575,513000,11961,5,410000,14965,4,NA,NA,NA
1970,16,4,NA,1047345,513000,20416,7,410000,25545,8,NA,NA,NA
1970,17,1,24214000,10896300,8162000,13350,3,6755000,16131,3,NA,NA,NA
1970,17,2,13845000,2215200,8162000,2714,4,6755000,3279,4,NA,NA,NA
1970,17,3,220190000,9908550,8162000,12140,4,6755000,14668,5,NA,NA,NA
1970,17,4,NA,23020050,8162000,28204,3,6755000,34079,3,NA,NA,NA
1970,18,1,5773000,2597850,3769000,6893,9,3071000,8459,9,NA,NA,NA
1970,18,2,2807000,449120,3769000,1192,8,3071000,1462,8,NA,NA,NA
1970,18,3,84042000,3781890,3769000,10034,8,3071000,12315,8,NA,NA,NA
1970,18,4,NA,6828860,3769000,18118,9,3071000,22237,9,NA,NA,NA
1970,19,1,3153000,1418850,2076000,6835,10,1699000,8351,10,NA,NA,NA
1970,19,2,780000,124800,2076000,601,10,1699000,735,10,NA,NA,NA
1970,19,3,50294000,2263230,2076000,10902,7,1699000,13321,7,NA,NA,NA
1970,19,4,NA,3806880,2076000,18338,8,1699000,22407,8,NA,NA,NA
1970,20,1,2410000,1084500,1678000,6463,10,1373000,7899,10,NA,NA,NA
1970,20,2,963000,154080,1678000,918,9,1373000,1122,9,NA,NA,NA
1970,20,3,31852000,1433340,1678000,8542,9,1373000,10439,9,NA,NA,NA
1970,20,4,NA,2671920,1678000,15923,10,1373000,19460,10,NA,NA,NA
1970,21,1,4420000,1989000,2363000,8417,8,1918000,10370,8,NA,NA,NA
1970,21,2,1222000,195520,2363000,827,10,1918000,1019,10,NA,NA,NA
1970,21,3,49079000,2208555,2363000,9346,8,1918000,11515,8,NA,NA,NA
1970,21,4,NA,4393075,2363000,18591,8,1918000,22904,8,NA,NA,NA
1970,22,1,5195000,2337750,2567000,9107,7,2041000,11454,7,NA,NA,NA
1970,22,2,4593000,734880,2567000,2863,4,2041000,3601,4,NA,NA,NA
1970,22,3,68578000,3086010,2567000,12022,4,2041000,15120,4,NA,NA,NA
1970,22,4,NA,6158640,2567000,23992,6,2041000,30175,6,NA,NA,NA
1970,23,1,1668000,750600,727000,10325,5,597000,12573,6,NA,NA,NA
1970,23,2,439000,70240,727000,966,9,597000,1177,9,NA,NA,NA
1970,23,3,19981000,899145,727000,12368,3,597000,15061,4,NA,NA,NA
1970,23,4,NA,1719985,727000,23659,6,597000,28810,6,NA,NA,NA
1970,24,1,8748000,3936600,2842000,13852,2,2342000,16809,2,NA,NA,NA
1970,24,2,4502000,720320,2842000,2535,4,2342000,3076,5,NA,NA,NA
1970,24,3,82602000,3717090,2842000,13079,2,2342000,15871,2,NA,NA,NA
1970,24,4,NA,8374010,2842000,29465,2,2342000,35756,2,NA,NA,NA
1970,25,1,12732000,5729400,4229000,13548,3,3507000,16337,3,NA,NA,NA
1970,25,2,7925000,1268000,4229000,2998,4,3507000,3616,4,NA,NA,NA
1970,25,3,107655000,4844475,4229000,11455,6,3507000,13814,6,NA,NA,NA
1970,25,4,NA,11841875,4229000,28002,3,3507000,33766,4,NA,NA,NA
1970,26,1,15056000,6775200,6359000,10655,5,5146000,13166,5,NA,NA,NA
